type	area	price	lat	lon
idealista	centro	18	45.610115	9.0818124
idealista	centro	18	45.4676529	9.2001805
idealista	centro	24	45.610115	9.0818124
idealista	centro	19	45.4676529	9.2001805
idealista	centro	25	45.4816996	9.1873105
idealista	centro	22	45.5553834	8.9725894
idealista	centro	26	41.9674202	12.4035405
idealista	centro	14	45.5742736	8.9207914
idealista	centro	24	45.466844	9.199494
idealista	centro	27	45.4721855	9.1867601
idealista	centro	20	45.469491	9.197676
idealista	centro	20	45.4569454	9.1903364
idealista	centro	18	45.4676529	9.2001805
idealista	centro	22	45.4569454	9.1903364
idealista	centro	20	45.4741833	9.1933425
idealista	centro	15	45.465427	9.200372
idealista	centro	21	43.306765	11.3156577
idealista	centro	25	45.4776519	9.186941
idealista	centro	15	45.610115	9.0818124
idealista	centro	26	45.4692696	9.1973128
idealista	centro	18	45.4326542	8.8664003
idealista	centro	20	45.4699914	9.1970929
idealista	centro	17	45.4326542	8.8664003
idealista	centro	17	45.4709757	9.1876155
idealista	centro	17	45.5148505	9.4777727
idealista	centro	40	45.5554606	9.3346492
idealista	centro	17	45.455414	9.1902414
idealista	centro	17	45.468651	9.19942
idealista	centro	25	45.457636	9.190878
idealista	centro	21	45.4581609	9.1858452
idealista	centro	20	45.47207	9.194766
idealista	centro	24	45.456473	9.1927855
idealista	centro	29	45.473889	9.187197
idealista	centro	22	45.4676529	9.2001805
idealista	centro	17	45.4731341	9.1910527
idealista	centro	20	45.4676529	9.2001805
idealista	centro	20	45.5139204	8.8853915
idealista	centro	27	45.4722909	9.1898406
idealista	centro	15	45.610115	9.0818124
idealista	centro	20	45.4692696	9.1973128
idealista	centro	23	45.4776519	9.186941
idealista	centro	20	45.4714783	9.1927354
idealista	centro	24	45.4696072	9.2000051
idealista	centro	19	45.5606567	9.031462
idealista	centro	27	45.4657585	9.2000151
idealista	centro	18	45.4600529	9.1986486
idealista	centro	28	45.477384	9.186317
idealista	centro	25	45.468081	9.19866
idealista	centro	18	45.468119	9.199849
idealista	centro	17	45.4676529	9.2001805
idealista	centro	32	45.5139204	8.8853915
idealista	centro	17	45.47207	9.194766
idealista	centro	25	45.4772423	9.1886147
idealista	centro	20	45.4602515	8.8456269
idealista	centro	19	45.472292	9.187545
idealista	centro	16	45.4356853	8.8883426
idealista	centro	24	45.4701475	9.1950515
idealista	centro	13	45.4546575	9.1829889
idealista	centro	16	45.45908	9.178206
idealista	centro	15	45.4583745	9.1772048
idealista	centro	22	45.5553834	8.9725894
idealista	centro	17	45.4611665	9.1945605
idealista	centro	21	45.4564372	9.195059
idealista	centro	24	45.4721855	9.1867601
idealista	centro	76	45.5169567	9.0108214
idealista	centro	17	45.4623644	9.2023934
idealista	centro	22	45.4722909	9.1898406
idealista	centro	29	45.4665591	9.1977425
idealista	centro	22	45.4731341	9.1910527
idealista	centro	19	45.468387	9.199636
idealista	centro	17	45.4676529	9.2001805
idealista	centro	26	45.468081	9.19866
idealista	centro	21	45.468651	9.19942
idealista	centro	18	45.468651	9.19942
idealista	centro	19	45.468387	9.199636
idealista	centro	26	45.464264	9.198788
idealista	centro	15	45.460955	9.1993703
idealista	centro	20	45.4602103	9.1770301
idealista	centro	3	45.456194	9.187439
idealista	centro	9	45.4776519	9.186941
idealista	centro	38	45.4554319	9.1841795
idealista	centro	83	45.456861	9.18302
idealista	centro	2	38.4141056	14.95389
idealista	centro	93	45.468081	9.19866
idealista	centro	27	45.5540692	8.9747206
idealista	centro	19	45.4727759	9.1914225
idealista	centro	19	45.5139204	8.8853915
idealista	centro	37	45.5139204	8.8853915
idealista	centro	15	45.4647856	9.0577315
idealista	centro	22	45.5169567	9.0108214
idealista	centro	14	45.4731341	9.1910527
idealista	centro	21	45.5554606	9.3346492
idealista	centro	30	45.5554606	9.3346492
idealista	centro	17	44.0689581	10.4531684
idealista	centro	27	44.0689581	10.4531684
idealista	centro	20	45.5139204	8.8853915
idealista	centro	16	45.5169567	9.0108214
idealista	centro	16	38.4141056	14.95389
idealista	centro	16	38.4141056	14.95389
idealista	centro	20	45.5169567	9.0108214
idealista	centro	20	38.4141056	14.95389
idealista	centro	17	45.5540692	8.9747206
idealista	centro	32	45.5540692	8.9747206
idealista	centro	12	38.4141056	14.95389
idealista	centro	17	45.5139204	8.8853915
idealista	centro	21	45.5139204	8.8853915
idealista	centro	25	45.472869	9.189596
idealista	centro	18	45.4326542	8.8664003
idealista	centro	17	38.4141056	14.95389
idealista	centro	30	45.4671431	9.2018962
idealista	centro	26	45.573424	9.1168113
idealista	centro	25	45.4699914	9.1970929
idealista	centro	19	44.0689581	10.4531684
idealista	centro	36	45.5169567	9.0108214
idealista	centro	18	45.5139204	8.8853915
idealista	centro	12	38.4141056	14.95389
idealista	centro	24	45.473097	9.191231
idealista	centro	20	45.457386	9.180429
idealista	centro	14	45.4731341	9.1910527
idealista	centro	28	45.467302	9.200419
idealista	centro	22	45.472644	9.1861511
idealista	centro	18	44.0689581	10.4531684
idealista	centro	30	45.4671431	9.2018962
idealista	centro	20	45.4671431	9.2018962
idealista	centro	21	45.472986	9.191843
idealista	centro	29	44.0689581	10.4531684
idealista	centro	30	45.4671431	9.2018962
idealista	centro	27	45.486606	9.3925653
idealista	centro	20	45.473067	9.191389
idealista	centro	33	45.5554606	9.3346492
idealista	centro	26	45.4326542	8.8664003
idealista	centro	19	41.4918929	13.830151
idealista	centro	18	45.5169567	9.0108214
idealista	centro	14	45.5139204	8.8853915
idealista	centro	15	45.5139204	8.8853915
idealista	centro	32	45.5540692	8.9747206
idealista	centro	26	38.4141056	14.95389
idealista	centro	18	44.0689581	10.4531684
idealista	centro	17	45.4671431	9.2018962
idealista	centro	20	45.5139204	8.8853915
idealista	centro	33	45.5540692	8.9747206
idealista	centro	15	45.5139204	8.8853915
idealista	centro	26	45.5139204	8.8853915
idealista	darsena	14	45.5213039	8.7751321
idealista	darsena	11	45.5274583	9.0000212
idealista	darsena	17	45.4583745	9.1772048
idealista	darsena	15	45.4583745	9.1772048
idealista	darsena	14	38.2005684	13.3212562
idealista	darsena	17	45.6327403	9.0313141
idealista	darsena	37	45.4489428	9.1701413
idealista	darsena	14	45.4568158	9.1808503
idealista	darsena	26	45.4555157	9.1758626
idealista	darsena	15	45.5213039	8.7751321
idealista	darsena	19	45.5213039	8.7751321
idealista	darsena	42	45.4555157	9.1758626
idealista	melchiorre	14	45.486399	9.197192
idealista	melchiorre	12	45.491333	9.205873
idealista	melchiorre	16	45.6649555	9.1219962
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	19	45.491472	9.205168
idealista	melchiorre	16	45.480956	9.190701
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	18	45.487924	9.198923
idealista	melchiorre	16	45.49535	9.207446
idealista	melchiorre	20	45.487352	9.200447
idealista	melchiorre	19	39.2259626	9.0981383
idealista	melchiorre	10	45.4942719	9.2071397
idealista	melchiorre	33	45.5139204	8.8853915
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	17	45.4936444	9.2091353
idealista	melchiorre	26	45.494444	9.20362
idealista	melchiorre	14	41.9118528	12.5178374
idealista	melchiorre	14	39.2259626	9.0981383
idealista	melchiorre	20	45.7753208	8.6090156
idealista	isola	25	45.4833471	9.189624
idealista	isola	41	45.428343	9.322507
idealista	isola	50	45.481965	9.191921
idealista	isola	10	45.5139204	8.8853915
idealista	isola	26	45.4833471	9.189624
idealista	isola	33	45.5139204	8.8853915
idealista	isola	12	45.5139204	8.8853915
