area	type	category	lat	lon
centro	comunali	Amministrativo	45.469388	9.199607
centro	comunali	Amministrativo	45.465673	9.198767
centro	comunali	Amministrativo	45.468198	9.19961
centro	comunali	Amministrativo	45.463702	9.19766
centro	comunali	Amministrativo	45.456899	9.189564
centro	comunali	Amministrativo	45.457438	9.191587
centro	comunali	Amministrativo	45.457547	9.192463
centro	comunali	Amministrativo	45.458998	9.181766
centro	comunali	Amministrativo	45.457948	9.187494
centro	comunali	Amministrativo	45.457694	9.183208
centro	comunali	Amministrativo	45.458847	9.188995
centro	comunali	Amministrativo	45.462591	9.197454
centro	comunali	Attrezzature religiose	45.457696	9.184469
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.46973	9.193443
centro	comunali	Attrezzature religiose	45.468122	9.198368
centro	comunali	Attrezzature religiose	45.46973	9.193443
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.458436	9.192702
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.463028	9.19601
centro	comunali	Cultura	45.458326	9.17948
centro	comunali	Cultura	45.461976	9.1967
centro	comunali	Cultura	45.468122	9.198368
centro	comunali	Cultura	45.458847	9.188995
centro	comunali	Cultura	45.459723	9.194643
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.467739	9.199954
centro	comunali	Cultura	45.469632	9.195266
centro	comunali	Cultura	45.467059	9.19795
centro	comunali	Istruzione	45.457948	9.187494
centro	comunali	Istruzione	45.457696	9.184469
centro	comunali	Istruzione	45.471005	9.195794
centro	comunali	Istruzione	45.457021	9.186183
centro	comunali	Istruzione	45.457696	9.184469
centro	comunali	Istruzione	45.470626	9.195653
centro	comunali	Istruzione	45.459952	9.178213
centro	comunali	Istruzione	45.457694	9.183208
centro	comunali	Istruzione	45.456416	9.186546
centro	comunali	Istruzione	45.467772	9.198122
centro	comunali	Salute	45.464516	9.19898
centro	comunali	Salute	45.458847	9.188995
centro	comunali	Salute	45.458847	9.188995
centro	comunali	Salute	45.466972	9.199927
centro	comunali	Salute	45.463393	9.197751
centro	comunali	Salute	45.457021	9.186183
centro	comunali	Servizi Sociali	45.461976	9.1967
centro	comunali	Servizi Sociali	45.461976	9.1967
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Università e ricerca	45.467059	9.19795
centro	comunali	Università e ricerca	45.464516	9.19898
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Amministrativo	45.473022	9.191673
centro	comunali	Amministrativo	45.477952	9.188261
centro	comunali	Amministrativo	45.473022	9.191673
centro	comunali	Amministrativo	45.472362	9.187615
centro	comunali	Amministrativo	45.477306	9.189584
centro	comunali	Attrezzature religiose	45.473413	9.188256
centro	comunali	Attrezzature religiose	45.478906	9.192155
centro	comunali	Cultura	45.478846	9.188991
centro	comunali	Cultura	45.479238	9.189197
centro	comunali	Cultura	45.473627	9.185786
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.478261	9.189117
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Istruzione	45.478906	9.192155
centro	comunali	Istruzione	45.47939	9.187642
centro	comunali	Istruzione	45.478906	9.192155
centro	comunali	Istruzione	45.479319	9.188843
centro	comunali	Istruzione	45.474363	9.189045
centro	comunali	Istruzione	45.473413	9.188256
centro	comunali	Istruzione	45.474363	9.189045
centro	comunali	Salute	45.478906	9.192155
centro	comunali	Salute	45.479314	9.191026
centro	comunali	Salute	45.478906	9.192155
centro	comunali	Salute	45.472679	9.189487
centro	comunali	Salute	45.472979	9.19529
centro	comunali	Salute	45.472579	9.185858
centro	comunali	Servizi Sociali	45.478846	9.188991
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Sicurezza e Protezione Civile	45.478906	9.192155
centro	comunali	Sicurezza e Protezione Civile	45.473236	9.192161
centro	comunali	Sport	45.477928	9.190903
centro	comunali	Sport	45.473413	9.188256
centro	comunali	Università e ricerca	45.472362	9.187615
centro	comunali	Università e ricerca	45.473413	9.188256
centro	comunali	Università e ricerca	45.472362	9.187615
centro	comunali	Università e ricerca	45.472362	9.187615
centro	comunali	Cultura	45.467059	9.19795
centro	comunali	Amministrativo	45.461026	9.198484
centro	comunali	Amministrativo	45.46219	9.198141
centro	comunali	Amministrativo	45.467739	9.204253
centro	comunali	Amministrativo	45.470504	9.197596
centro	comunali	Attrezzature religiose	45.457888	9.193005
centro	comunali	Attrezzature religiose	45.470438	9.19733
centro	comunali	Attrezzature religiose	45.461026	9.198484
centro	comunali	Cultura	45.470438	9.19733
centro	comunali	Cultura	45.46219	9.198141
centro	comunali	Cultura	45.469207	9.20402
centro	comunali	Cultura	45.470918	9.197068
centro	comunali	Cultura	45.467739	9.204253
centro	comunali	Cultura	45.467059	9.19795
centro	comunali	Cultura	45.472376	9.195641
centro	comunali	Cultura	45.469207	9.20402
centro	comunali	Cultura	45.470438	9.19733
centro	comunali	Cultura	45.456684	9.19553
centro	comunali	Cultura	45.456684	9.19553
centro	comunali	Cultura	45.470918	9.197068
centro	comunali	Edilizia Residenziale Sociale	45.457888	9.193005
centro	comunali	Giustizia	45.470504	9.197596
centro	comunali	Istruzione	45.469207	9.20402
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Istruzione	45.465004	9.202242
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Istruzione	45.465004	9.202242
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Istruzione	45.469207	9.20402
centro	comunali	Istruzione	45.465004	9.202242
centro	comunali	Istruzione	45.465004	9.202242
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Salute	45.469103	9.199078
centro	comunali	Università e ricerca	45.465869	9.202656
centro	comunali	Attrezzature religiose	45.456795	9.189888
centro	comunali	Attrezzature religiose	45.457317	9.192989
centro	comunali	Attrezzature religiose	45.456461	9.192877
centro	comunali	Attrezzature religiose	45.455128	9.187318
centro	comunali	Attrezzature religiose	45.457888	9.193005
centro	comunali	Cultura	45.457888	9.193005
centro	comunali	Cultura	45.45641	9.19287
centro	comunali	Edilizia Residenziale Sociale	45.457069	9.191443
centro	comunali	Istruzione	45.456795	9.189888
centro	comunali	Istruzione	45.45699	9.192947
centro	comunali	Istruzione	45.454317	9.192569
centro	comunali	Istruzione	45.454317	9.192569
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Istruzione	45.454317	9.192569
centro	comunali	Istruzione	45.457888	9.193005
centro	comunali	Istruzione	45.45699	9.192947
centro	comunali	Istruzione	45.454317	9.192569
centro	comunali	Salute	45.457888	9.193005
centro	comunali	Salute	45.456988	9.194113
centro	comunali	Salute	45.457328	9.193283
centro	comunali	Servizi Sociali	45.456998	9.19077
centro	comunali	Servizi Sociali	45.457888	9.193005
centro	comunali	Università e ricerca	45.457069	9.191443
darsena	comunali	Attrezzature religiose	45.449307	9.17975
centro	comunali	Attrezzature religiose	45.456353	9.177678
darsena	comunali	Cultura	45.45436	9.179254
centro	comunali	Cultura	45.456353	9.177678
centro	comunali	Istruzione	45.45611	9.18371
darsena	comunali	Istruzione	45.449024	9.181176
darsena	comunali	Istruzione	45.449024	9.181176
centro	comunali	Salute	45.454784	9.186877
centro	comunali	Salute	45.454784	9.186877
centro	comunali	Salute	45.454784	9.186877
centro	comunali	Salute	45.455972	9.184423
centro	comunali	Salute	45.455972	9.184423
darsena	comunali	Salute	45.449024	9.181176
centro	comunali	Salute	45.4557	9.183658
centro	comunali	Salute	45.454784	9.186877
centro	comunali	Salute	45.456353	9.177678
centro	comunali	Salute	45.454784	9.186877
darsena	comunali	Salute	45.449024	9.181176
centro	comunali	Salute	45.456353	9.177678
centro	comunali	Salute	45.456353	9.177678
darsena	comunali	Salute	45.456532	9.174764
darsena	comunali	Salute	45.456188	9.174259
darsena	comunali	Salute	45.453851	9.18033
darsena	comunali	Salute	45.449307	9.17975
darsena	comunali	Servizi Sociali	45.45436	9.179254
darsena	comunali	Servizi Sociali	45.45436	9.179254
centro	comunali	Servizi Sociali	45.456353	9.177678
centro	comunali	Servizi Sociali	45.454784	9.186877
darsena	comunali	Sicurezza e Protezione Civile	45.449024	9.181176
centro	comunali	Sport	45.456353	9.177678
darsena	comunali	Università e ricerca	45.45436	9.179254
centro	comunali	Salute	45.458645	9.177375
melchiorre	comunali	Amministrativo	45.492956	9.206646
melchiorre	comunali	Attrezzature religiose	45.489256	9.20154
melchiorre	comunali	Istruzione	45.489256	9.20154
melchiorre	comunali	Istruzione	45.489256	9.20154
melchiorre	comunali	Istruzione	45.489256	9.20154
melchiorre	comunali	Salute	45.492956	9.206646
melchiorre	comunali	Salute	45.492956	9.206646
melchiorre	comunali	Servizi Sociali	45.489256	9.20154
melchiorre	comunali	Attrezzature religiose	45.489526	9.197969
melchiorre	comunali	Edilizia Residenziale Sociale	45.489526	9.197969
melchiorre	comunali	Istruzione	45.489526	9.197969
melchiorre	comunali	Servizi Sociali	45.492956	9.206646
melchiorre	comunali	Servizi Sociali	45.49078	9.198777
darsena	comunali	Cultura	45.453814	9.172063
darsena	comunali	Istruzione	45.452855	9.173569
darsena	comunali	Salute	45.451561	9.174498
darsena	comunali	Cultura	45.452171	9.174875
isola	comunali	Edilizia Residenziale Sociale	45.480473	9.191019
isola	comunali	Servizi Sociali	45.480662	9.190502
isola	comunali	Servizi Sociali	45.480662	9.190502
isola	comunali	Salute	45.480768	9.188596
